# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 18:56:31.711738
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
O_4-O_5,0.5136283185840708,78,1,0.0
O_4-O_5,0.5136283185840708,75,1,0.0
O_4-O_5,0.5136283185840708,73,1,0.0
O_4-O_5,0.5136283185840708,60,1,0.0
O_4-O_5,0.5136283185840708,58,1,0.0
O_4-O_5,0.5136283185840708,47,2,0.0
O_4-O_5,0.5136283185840708,39,1,0.0
O_4-O_5,0.5136283185840708,36,1,0.0
O_4-O_5,0.5136283185840708,32,1,0.0
O_4-O_5,0.5136283185840708,28,1,0.0
O_4-O_5,0.5136283185840708,26,1,0.0
O_4-O_5,0.5136283185840708,23,1,0.0
O_4-O_5,0.5136283185840708,21,1,0.0
O_4-O_5,0.5136283185840708,19,1,0.0
O_4-O_5,0.5136283185840708,18,1,0.0
O_4-O_5,0.5136283185840708,17,3,0.0
O_4-O_5,0.5136283185840708,16,1,0.0
O_4-O_5,0.5136283185840708,15,3,0.0
O_4-O_5,0.5136283185840708,14,3,0.0
O_4-O_5,0.5136283185840708,13,1,0.0
O_4-O_5,0.5136283185840708,12,5,0.0
O_4-O_5,0.5136283185840708,11,2,0.0
O_4-O_5,0.5136283185840708,10,2,0.0
O_4-O_5,0.5136283185840708,9,10,0.0
O_4-O_5,0.5136283185840708,8,3,0.0
O_4-O_5,0.5136283185840708,7,3,0.0
O_4-O_5,0.5136283185840708,6,9,0.0
O_4-O_5,0.5136283185840708,5,8,0.0
O_4-O_5,0.5136283185840708,4,33,0.0
O_4-O_5,0.5136283185840708,3,35,0.0
O_4-O_5,0.5136283185840708,2,18,0.0
