# Gyration Radius Results
# Date: 2025-04-04 18:56:31.708237
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,Gyration_radius,Standard_deviation_ddof=1
O_5-O_5,0.1479646017699115,21,5.164562105781128,0.0
O_5-O_5,0.1479646017699115,14,4.144167760079711,0.0
O_5-O_5,0.1479646017699115,13,4.22507020078119,0.0
O_5-O_5,0.1479646017699115,12,4.697081057666786,0.0
O_5-O_5,0.1479646017699115,10,5.386701619733196,0.0
O_5-O_5,0.1479646017699115,8,3.885319199908764,0.0
O_5-O_5,0.1479646017699115,7,3.350303066702399,0.0
O_5-O_5,0.1479646017699115,6,3.360986274811008,0.0
O_5-O_5,0.1479646017699115,5,2.8693365068066523,0.0
O_5-O_5,0.1479646017699115,4,2.554284845521892,0.0
O_5-O_5,0.1479646017699115,3,2.03561309236576,0.0
O_5-O_5,0.1479646017699115,2,1.6565201932013283,0.0
