# Cluster Size Distribution ➜ 11 frames averaged.
# Date: 2025-04-04 18:28:30.479574
# Frames averaged: 11
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
SiO_4-SiO_5,0.24441504997060554,47,1,0.0
SiO_4-SiO_5,0.24441504997060554,44,3,0.0
SiO_4-SiO_5,0.24441504997060554,42,1,0.0
SiO_4-SiO_5,0.24441504997060554,40,1,0.0
SiO_4-SiO_5,0.24441504997060554,39,1,0.0
SiO_4-SiO_5,0.24441504997060554,33,1,0.0
SiO_4-SiO_5,0.24441504997060554,32,2,0.0
SiO_4-SiO_5,0.24441504997060554,29,3,0.0
SiO_4-SiO_5,0.24441504997060554,26,1,0.0
SiO_4-SiO_5,0.24441504997060554,24,3,0.0
SiO_4-SiO_5,0.24441504997060554,22,2,0.0
SiO_4-SiO_5,0.24441504997060554,20,3,0.0
SiO_4-SiO_5,0.24441504997060554,19,2,0.0
SiO_4-SiO_5,0.24441504997060554,18,1,0.0
SiO_4-SiO_5,0.24441504997060554,17,5,0.0
SiO_4-SiO_5,0.24441504997060554,16,14,0.5163977794943223
SiO_4-SiO_5,0.24441504997060554,15,11,0.5175491695067657
SiO_4-SiO_5,0.24441504997060554,14,6,0.0
SiO_4-SiO_5,0.24441504997060554,13,9,0.3535533905932738
SiO_4-SiO_5,0.24441504997060554,12,3,0.0
SiO_4-SiO_5,0.24441504997060554,11,36,1.009049958219026
SiO_4-SiO_5,0.24441504997060554,10,13,0.7264831572567789
SiO_4-SiO_5,0.24441504997060554,9,20,1.3017082793177759
SiO_4-SiO_5,0.24441504997060554,8,16,0.7559289460184544
SiO_4-SiO_5,0.24441504997060554,7,64,1.4012980994907414
SiO_4-SiO_5,0.24441504997060554,6,91,2.412090756622109
SiO_4-SiO_5,0.24441504997060554,5,171,2.5045413298101655
SiO_4-SiO_5,0.24441504997060554,4,204,2.3393860888547815
SiO_4-SiO_5,0.24441504997060554,3,259,2.5441555126853532
SiO_4-SiO_5,0.24441504997060554,2,396,1.2649110640673518
