# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:44:57.481068
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.9078247084135432,153,1,0.0
1-1,0.9078247084135432,83,1,0.0
1-1,0.9078247084135432,76,1,0.0
1-1,0.9078247084135432,73,1,0.0
1-1,0.9078247084135432,72,1,0.0
1-1,0.9078247084135432,65,1,0.0
1-1,0.9078247084135432,62,1,0.0
1-1,0.9078247084135432,61,1,0.0
1-1,0.9078247084135432,60,2,0.0
1-1,0.9078247084135432,58,1,0.0
1-1,0.9078247084135432,55,1,0.0
1-1,0.9078247084135432,54,1,0.0
1-1,0.9078247084135432,50,1,0.0
1-1,0.9078247084135432,44,1,0.0
1-1,0.9078247084135432,41,1,0.0
1-1,0.9078247084135432,40,1,0.0
1-1,0.9078247084135432,37,2,0.0
1-1,0.9078247084135432,36,1,0.0
1-1,0.9078247084135432,31,2,0.0
1-1,0.9078247084135432,27,2,0.0
1-1,0.9078247084135432,26,1,0.0
1-1,0.9078247084135432,24,1,0.0
1-1,0.9078247084135432,23,1,0.0
1-1,0.9078247084135432,22,2,0.0
1-1,0.9078247084135432,21,1,0.0
1-1,0.9078247084135432,20,2,0.0
1-1,0.9078247084135432,19,1,0.0
1-1,0.9078247084135432,18,1,0.0
1-1,0.9078247084135432,17,2,0.0
1-1,0.9078247084135432,16,5,0.0
1-1,0.9078247084135432,15,2,0.0
1-1,0.9078247084135432,14,4,0.0
1-1,0.9078247084135432,13,7,0.0
1-1,0.9078247084135432,12,6,0.0
1-1,0.9078247084135432,11,8,0.0
1-1,0.9078247084135432,10,6,0.0
1-1,0.9078247084135432,9,11,0.0
1-1,0.9078247084135432,8,9,0.0
1-1,0.9078247084135432,7,14,0.0
1-1,0.9078247084135432,6,20,0.0
1-1,0.9078247084135432,5,29,0.0
1-1,0.9078247084135432,4,56,0.0
1-1,0.9078247084135432,3,88,0.0
1-1,0.9078247084135432,2,168,0.0
