# Gyration Radius Results
# Date: 2025-04-04 17:45:00.902515
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,Gyration_radius,Standard_deviation_ddof=1
1-1,0.9124212325109473,145,4.126224820861666,0.0
1-1,0.9124212325109473,87,4.670685093958729,0.0
1-1,0.9124212325109473,38,2.593006789525688,0.0
1-1,0.9124212325109473,32,2.2625517949872442,0.0
1-1,0.9124212325109473,30,2.293711209178503,0.0
1-1,0.9124212325109473,28,2.5460052743745165,0.0
1-1,0.9124212325109473,27,2.2197517131513624,0.0
1-1,0.9124212325109473,24,1.9555767814918235,0.0
1-1,0.9124212325109473,23,2.376634846733295,0.0
1-1,0.9124212325109473,21,1.7944232077539783,0.0
1-1,0.9124212325109473,19,2.1353118710632417,0.0
1-1,0.9124212325109473,18,1.644671878751578,0.0
1-1,0.9124212325109473,17,1.7149858514250884,0.0
1-1,0.9124212325109473,16,1.7290809229899846,0.0
1-1,0.9124212325109473,15,1.4706392895678828,0.0
1-1,0.9124212325109473,14,1.715930545347079,0.0
1-1,0.9124212325109473,13,1.5472772417670315,0.0
1-1,0.9124212325109473,12,1.4498905166418419,0.0
1-1,0.9124212325109473,11,1.4545454545454546,0.0
1-1,0.9124212325109473,10,1.503875078803404,0.0
1-1,0.9124212325109473,9,1.2270973695290022,0.0
1-1,0.9124212325109473,8,1.223607251013859,0.0
1-1,0.9124212325109473,7,1.0800203873198455,0.0
1-1,0.9124212325109473,6,1.0601079123505952,0.0
1-1,0.9124212325109473,5,0.9652406096451539,0.0
1-1,0.9124212325109473,4,0.8361585646352118,0.0
1-1,0.9124212325109473,3,0.679509230746186,0.0
1-1,0.9124212325109473,2,0.5,0.0
