# Gyration Radius Results
# Date: 2025-04-04 17:14:38.073296
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,Gyration_radius,Standard_deviation_ddof=1
1-1,0.8808988764044944,44,4.817913800435802,0.0
1-1,0.8808988764044944,42,3.9749784294684205,0.0
1-1,0.8808988764044944,32,5.812668008324577,0.0
1-1,0.8808988764044944,29,5.0594562457810275,0.0
1-1,0.8808988764044944,24,4.09733992297984,0.0
1-1,0.8808988764044944,18,2.398559238324767,0.0
1-1,0.8808988764044944,15,3.195830617121836,0.0
1-1,0.8808988764044944,14,2.5093496067536876,0.0
1-1,0.8808988764044944,12,1.7873008824606014,0.0
1-1,0.8808988764044944,10,1.6370705543744901,0.0
1-1,0.8808988764044944,9,1.8986674989594514,0.0
1-1,0.8808988764044944,8,1.224744871391589,0.0
1-1,0.8808988764044944,7,1.1428571428571428,0.0
1-1,0.8808988764044944,6,0.9928095354286266,0.0
1-1,0.8808988764044944,5,1.114953876497511,0.0
1-1,0.8808988764044944,4,1.0340311270947427,0.0
1-1,0.8808988764044944,3,0.7736880339959947,0.0
1-1,0.8808988764044944,2,0.5,0.0
