# Cluster Size Distribution ➜ 1 frames averaged.
# Date: 2025-04-04 17:13:23.011995
# Frames averaged: 1
# Connectivity_type,Concentration,Cluster_size,N_clusters,Standard_deviation_ddof=1
1-1,0.8973105134474327,462,1,0.0
1-1,0.8973105134474327,228,1,0.0
1-1,0.8973105134474327,142,1,0.0
1-1,0.8973105134474327,132,1,0.0
1-1,0.8973105134474327,103,1,0.0
1-1,0.8973105134474327,92,1,0.0
1-1,0.8973105134474327,33,1,0.0
1-1,0.8973105134474327,17,1,0.0
1-1,0.8973105134474327,14,2,0.0
1-1,0.8973105134474327,13,2,0.0
1-1,0.8973105134474327,11,2,0.0
1-1,0.8973105134474327,10,3,0.0
1-1,0.8973105134474327,8,2,0.0
1-1,0.8973105134474327,7,11,0.0
1-1,0.8973105134474327,6,8,0.0
1-1,0.8973105134474327,5,13,0.0
1-1,0.8973105134474327,4,13,0.0
1-1,0.8973105134474327,3,30,0.0
1-1,0.8973105134474327,2,86,0.0
